customer_id;staff_id;customer_name;country;city;street;building;work_start;work_end
1;;ООО «БАУМАСТЕР»;Россия;г. Воронеж;Электросигнальная;30;09:00;15:00
2;;ООО «ЭКОСИСТЕМА»;Россия;г. Барнаул;Юрина;92;09:00;17:00
3;;ООО «ТЕПЛОМЕХАНИКА ГАЗ»;Россия;г. Кемерово;Красноармейская;13;09:00;16:00
4;;ООО «ГАЗ ЛАЙН»;Россия;г. Санкт-Петербург;Ворошилова;6;09:00;18:00
5;;ООО «СЕВЕРНАЯ КОМПАНИЯ»;Россия;Индустриальный парк Шексна;Железнодорожный;3;08:00;17:00
6;;ООО «ПИНГВИН»;Россия;г. Видное;Каширское шоссе;24 к.1;09:00;16:30
7;;ООО «ПРОМГАЗТРЕЙД»;Россия;с. Преображенка;Индустриальная;11;09:00;18:00
8;;ООО «СЗГАЗ»;Россия;г. Санкт-Петербург;Маршала Тухачевского;4;09:00;18:00
9;;ООО «ХОГАРТ-НЕВА»;Россия;г. Санкт-Петербург;Калинина;57;10:00;17:30
10;;ООО «РЕГИОНТОРГ»;Россия;г. Курган;Машиностроителей;30;08:00;17:00
11;;ИП «НОСАРЬ»;Россия;;;;;
12;;ООО «ПРОФПОТОК»;Россия;г. Краснодар;Ставропольская;78;;
13;;ООО «САНРАЙЗ»;Россия;г. Казань;Модельная;25;09:00;17:00
14;;ООО «Р-КЛИМАТ»;Россия;г. Киржач;Первомайская;1;00:00;00:59
15;;ООО «ТЕРМОМИР»;Россия;г. Белгород;Магистральная;55б;09:30;16:30
16;;ТД «ФЕНИКС»;Россия;х. Нижнетемерницкий;Гайдара;6;09:30;16:30
17;;ООО ФИРМА «ТЕПЛОЦЕЛЬ»;Россия;п. Красный;Промышленная;8;09:00;18:00
18;;ООО «ТД МЕДВЕДЬ»;Россия;г. Красноярск;Технологическая;16;09:00;17:00
19;;ООО «АВВА ГРУПП»;Россия;г. Ставрополь;Северный обход;7;09:00;18:00